field_name,display_name,data_type,source_object,grain_level,source_table,is_computed,update_frequency,definition,engineering_validation
lifecycle_event_qbr,Last Event: QBR,datetime,Account,account,computed,yes,daily,Last QBR date,
lifecycle_event_churn_notification,Last Event: Churn Notification,datetime,Account,account,computed,yes,daily,Last churn notification date,
lifecycle_event_highly_positive,Last Event: Highly Positive Message,datetime,Account,account,computed,yes,daily,Last highly positive message date,
lifecycle_event_extremely_negative,Last Event: Extremely Negative Message,datetime,Account,account,computed,yes,daily,Last extremely negative message date,
lifecycle_event_churn_risk,Last Event: Churn Risk,datetime,Account,account,computed,yes,daily,Last churn risk detection date,
lifecycle_event_exec_touchbase,Last Event: Executive Touch-base,datetime,Account,account,computed,yes,daily,Last executive to executive touch-base,
lifecycle_event_expansion_opp,Last Event: Expansion Opportunity,datetime,Account,account,computed,yes,daily,Last expansion/upsell/cross-sell opportunity,
lifecycle_event_onboarding,Last Event: Onboarding,datetime,Account,account,computed,yes,daily,Last onboarding event date,
next_qbr_date,Next QBR Date,date,Account,account,computed,yes,daily,Next scheduled QBR date,
ai_account_summary,AI Summary,string,Account,account,computed,yes,daily,AI-generated account summary,
last_note,Last Note,string,Account,account,computed,yes,real-time,Most recent note on account,
positive_sentiment,Positive Sentiment,number,Account,account,computed,yes,daily,Count of positive sentiment communications,
neutral_sentiment,Neutral Sentiment,number,Account,account,computed,yes,daily,Count of neutral sentiment communications,
negative_sentiment,Negative Sentiment,number,Account,account,computed,yes,daily,Count of negative sentiment communications,
last_engagement,Last Engagement,datetime,Account,account,computed,yes,near-real-time,Last customer engagement activity,
last_reach_out,Last Reach-out,datetime,Account,account,computed,yes,near-real-time,Last team reach-out to customer,
last_touch,Last Touch,datetime,Account,account,computed,yes,near-real-time,Last touch with account,
last_touch_dm,Last Touch DM,datetime,Account,account,computed,yes,near-real-time,Last touch with decision maker,
total_activity,Total Activity,number,Account,account,computed,yes,near-real-time,Total activity count,
health_score,Health Score,number,Account,account,computed,yes,daily,Overall health score 0-100,
health_score_label,Health Score Label,string,Account,account,computed,yes,daily,Health score label (Red/Yellow/Green),
engagement_score,Engagement Score,number,Account,account,computed,yes,daily,Engagement score 0-100,
engagement_score_label,Engagement Score Label,string,Account,account,computed,yes,daily,Engagement score label (Red/Yellow/Green),
sentiment_score,Sentiment Score,number,Account,account,computed,yes,daily,Sentiment score 0-100,
sentiment_score_label,Sentiment Score Label,string,Account,account,computed,yes,daily,Sentiment score label (Red/Yellow/Green),
open_items_score,Open Items Score,number,Account,account,computed,yes,daily,Open items score 0-100,
open_items_score_label,Open Items Score Label,string,Account,account,computed,yes,daily,Open items score label (Red/Yellow/Green),
response_time_score,Response Time Score,number,Account,account,computed,yes,daily,Response time score 0-100,
response_time_score_label,Response Time Score Label,string,Account,account,computed,yes,daily,Response time score label (Red/Yellow/Green),
total_emails,Total Emails,number,Account,account,email_prop,yes,near-real-time,Total email count,
team_sent_emails,Team Sent Emails,number,Account,account,email_prop,yes,near-real-time,Total emails sent by team,
team_last_sent_email_date,Team Last Sent Email Date,datetime,Account,account,email_prop,yes,near-real-time,Date of last email sent by team,
emails_sent_by_owner,Emails Sent by Account Owner,number,Account,account,email_prop,yes,near-real-time,Emails sent by account owner,
account_sent_emails,Account Sent Emails,number,Account,account,email_prop,yes,near-real-time,Total emails sent by account,
account_last_sent_email_date,Account Last Sent Email Date,datetime,Account,account,email_prop,yes,near-real-time,Date of last email from account,
team_email_response_time_hours,Team Response Time to Emails (hrs),number,Account,account,computed,yes,daily,Average team response time to emails in hours,
account_email_response_time_hours,Account Response Time to Emails (hrs),number,Account,account,computed,yes,daily,Average account response time to emails in hours,
email_last_touch_dm,Email Last Touch DM,datetime,Account,account,email_prop,yes,near-real-time,Last email touch with decision maker,
email_positive_sentiment,Positive Sentiment in Emails,number,Account,account,email_prop,yes,daily,Emails with positive sentiment,
email_neutral_sentiment,Neutral Sentiment in Emails,number,Account,account,email_prop,yes,daily,Emails with neutral sentiment,
email_negative_sentiment,Negative Sentiment in Emails,number,Account,account,email_prop,yes,daily,Emails with negative sentiment,
total_meetings,Total Meetings,number,Account,account,calendar_event_prop,yes,near-real-time,Total meeting count,
meeting_time_hours,Meeting Time (hours),number,Account,account,calendar_event_prop,yes,near-real-time,Total meeting hours,
team_meeting_time_hours,Team Time in Meetings (hours),number,Account,account,calendar_event_prop,yes,near-real-time,Team time in meetings,
owner_meeting_time_hours,Account Owner Time in Meetings (hours),number,Account,account,calendar_event_prop,yes,near-real-time,Owner time in meetings,
owner_total_meetings,Account Owner Total Meetings,number,Account,account,calendar_event_prop,yes,near-real-time,Owner total meeting count,
last_meeting_date,Last Meeting Date,datetime,Account,account,calendar_event_prop,yes,near-real-time,Date of last meeting,
last_dm_meeting_date,Last DM Meeting Date,datetime,Account,account,calendar_event_prop,yes,near-real-time,Date of last meeting with decision maker,
next_meeting_date,Next Meeting Date,datetime,Account,account,calendar_event_prop,yes,near-real-time,Date of next scheduled meeting,
stakeholders_count,Stakeholders Count,number,Account,account,computed,yes,daily,Count of stakeholders,
multi_threaded,Multi-threaded,boolean,Account,account,computed,yes,daily,Whether account is multi-threaded,
churn_date,Churn Date,date,Account,account,customer,no,sync,Date account churned (if churned),
ai_churn_analysis,AI Churn Analysis,string,Account,account,computed,yes,on-churn,AI-generated churn analysis summary,
ai_renewal_analysis,AI Renewal Analysis,string,Account,account,computed,yes,daily,AI-generated renewal analysis summary,
ai_churn_risk_summary,AI Churn Risk Summary,string,Account,account,ai_expansion_opportunities,yes,daily,AI-generated churn risk summary,
ai_expansion_summary,AI Expansion Opportunity Summary,string,Account,account,ai_expansion_opportunities,yes,daily,AI-generated expansion opportunity summary,
expansion_readiness_level,Expansion Readiness Level,string,Account,account,ai_expansion_opportunities,yes,daily,Expansion readiness level (Low/Medium/High),
owner_first_name,Owner First Name,string,Account,account,users,no,sync,Account owner first name,
owner_last_name,Owner Last Name,string,Account,account,users,no,sync,Account owner last name,
owner_email,Owner Email,string,Account,account,users,no,sync,Account owner email,
owner_title,Owner Title,string,Account,account,users,no,sync,Account owner job title,
owner_excluded_from_analysis,Owner Excluded from Analysis,boolean,Account,account,users,no,sync,Owner excluded from communication analysis,
owner_has_staircase_access,Owner Has Staircase Access,boolean,Account,account,users,no,sync,Owner has Staircase access,
owner_department,Owner Department,string,Account,account,users,no,sync,Owner department,
owner_mailbox_connected,Owner Mailbox Connected,boolean,Account,account,user_api_token,yes,real-time,Owner mailbox connected,
owner_crm_id,Owner CRM ID,string,Account,account,users,no,sync,Owner CRM identifier,
owner_sent_emails,Owner Sent Emails,number,Account,account,email_prop,yes,daily,Emails sent by owner,
owner_received_emails,Owner Received Emails,number,Account,account,email_prop,yes,daily,Emails received by owner,
owner_emails_positive_sentiment,Owner Emails with Positive Sentiment,number,Account,account,email_prop,yes,daily,Owner emails with positive sentiment,
owner_emails_negative_sentiment,Owner Emails with Negative Sentiment,number,Account,account,email_prop,yes,daily,Owner emails with negative sentiment,
owner_emails_neutral_sentiment,Owner Emails with Neutral Sentiment,number,Account,account,email_prop,yes,daily,Owner emails with neutral sentiment,
owner_attended_meetings,Owner Attended Meetings,number,Account,account,calendar_event_attendee,yes,daily,Meetings attended by owner,
owner_meetings_time_hours,Owner Meetings Time (hrs),number,Account,account,calendar_event_attendee,yes,daily,Owner time in meetings,
stakeholder_id,Stakeholder ID,bigint,Stakeholder,stakeholder,stakeholder,no,real-time,Unique identifier for stakeholder,
stakeholder_account_id,Account ID,bigint,Stakeholder,stakeholder,stakeholder,no,real-time,Account this stakeholder belongs to,
stakeholder_email,Email,string,Stakeholder,stakeholder,stakeholder,no,sync,Stakeholder email address,
stakeholder_name,Name,string,Stakeholder,stakeholder,stakeholder,no,sync,Stakeholder name,
stakeholder_title,Title,string,Stakeholder,stakeholder,stakeholder,no,sync,Stakeholder job title,
stakeholder_crm_id,CRM ID,string,Stakeholder,stakeholder,stakeholder,no,sync,Stakeholder CRM identifier,
stakeholder_muted,Muted,boolean,Stakeholder,stakeholder,stakeholder,no,sync,Stakeholder is muted,
stakeholder_opted_out,Opted Out of AI Analysis,boolean,Stakeholder,stakeholder,stakeholder,no,sync,Opted out of AI analysis,
stakeholder_touch_frequency,Touch Frequency,string,Stakeholder,stakeholder,stakeholder,no,sync,Expected touch frequency,
stakeholder_type,Type,string,Stakeholder,stakeholder,stakeholder,no,sync,Stakeholder type,
stakeholder_gs_role,GS Role,string,Stakeholder,stakeholder,stakeholder,no,sync,Gainsight role (Decision Maker/Champion/Executive Sponsor),
stakeholder_last_engagement,Last Engagement,datetime,Stakeholder,stakeholder,computed,yes,near-real-time,Last engagement with stakeholder,
stakeholder_last_reach_out,Last Reach Out,datetime,Stakeholder,stakeholder,computed,yes,near-real-time,Last reach out to stakeholder,
stakeholder_last_received_email,Last Received Email,datetime,Stakeholder,stakeholder,email_prop,yes,near-real-time,Last email received from stakeholder,
stakeholder_last_sent_email,Last Sent Email,datetime,Stakeholder,stakeholder,email_prop,yes,near-real-time,Last email sent to stakeholder,
stakeholder_sent_emails,Sent Emails,number,Stakeholder,stakeholder,email_prop,yes,near-real-time,Emails sent by stakeholder,
stakeholder_emails_positive,Emails with Positive Sentiment,number,Stakeholder,stakeholder,email_prop,yes,daily,Stakeholder emails with positive sentiment,
stakeholder_emails_negative,Emails with Negative Sentiment,number,Stakeholder,stakeholder,email_prop,yes,daily,Stakeholder emails with negative sentiment,
stakeholder_emails_neutral,Emails with Neutral Sentiment,number,Stakeholder,stakeholder,email_prop,yes,daily,Stakeholder emails with neutral sentiment,
stakeholder_attended_meetings,Attended Meetings,number,Stakeholder,stakeholder,calendar_event_attendee,yes,near-real-time,Meetings attended by stakeholder,
stakeholder_accepted_meetings,Accepted Meetings,number,Stakeholder,stakeholder,calendar_event_attendee,yes,near-real-time,Meetings accepted by stakeholder,
stakeholder_invited_meetings,Invited Meetings,number,Stakeholder,stakeholder,calendar_event_attendee,yes,near-real-time,Meeting invitations to stakeholder,
stakeholder_last_attended_meeting,Last Attended Meeting,datetime,Stakeholder,stakeholder,calendar_event_attendee,yes,near-real-time,Date of last attended meeting,
stakeholder_next_scheduled_meeting,Next Scheduled Meeting,datetime,Stakeholder,stakeholder,calendar_event_attendee,yes,near-real-time,Date of next scheduled meeting,
stakeholder_attended_calls,Attended Calls,number,Stakeholder,stakeholder,calendar_event_attendee,yes,near-real-time,Video calls attended,
stakeholder_accepted_calls,Accepted Calls,number,Stakeholder,stakeholder,calendar_event_attendee,yes,near-real-time,Video calls accepted,
stakeholder_positive_items,Positive Sentiment Items,number,Stakeholder,stakeholder,computed,yes,daily,Total items with positive sentiment,
stakeholder_neutral_items,Neutral Sentiment Items,number,Stakeholder,stakeholder,computed,yes,daily,Total items with neutral sentiment,
stakeholder_negative_items,Negative Sentiment Items,number,Stakeholder,stakeholder,computed,yes,daily,Total items with negative sentiment,
stakeholder_sentiment_score,Sentiment Score,number,Stakeholder,stakeholder,computed,yes,daily,Overall stakeholder sentiment score,
stakeholder_sentiment,Sentiment,string,Stakeholder,stakeholder,computed,yes,daily,Stakeholder sentiment label,
topic_id,Topic ID,bigint,Topic,topic,topic_parent,no,real-time,Unique identifier for topic,
topic_parent_id,Parent Topic ID,bigint,Topic,topic,topic_child,no,real-time,Parent topic ID (for child topics),
topic_name,Topic Name,string,Topic,topic,topic_parent,no,real-time,Topic name,
topic_parent_name,Parent Topic Name,string,Topic,topic,topic_parent,no,real-time,Parent topic name,
topic_description,Topic Description,string,Topic,topic,topic_parent,no,real-time,Topic description,
topic_positive_sentiment,Positive Sentiment for Topic,number,Account-Topic,topic,topic_data,yes,daily,Positive sentiment count for topic,
topic_neutral_sentiment,Neutral Sentiment for Topic,number,Account-Topic,topic,topic_data,yes,daily,Neutral sentiment count for topic,
topic_negative_sentiment,Negative Sentiment for Topic,number,Account-Topic,topic,topic_data,yes,daily,Negative sentiment count for topic,
topic_total_activity,Total Activity for Topic,number,Account-Topic,topic,topic_data,yes,daily,Total activity count for topic,
topic_total_emails,Total Sent Emails for Topic,number,Account-Topic,topic,topic_data,yes,daily,Total emails for topic,
topic_total_chat,Total Chat Messages for Topic,number,Account-Topic,topic,topic_data,yes,daily,Total chat messages for topic,
topic_total_video,Total Video Summaries for Topic,number,Account-Topic,topic,topic_data,yes,daily,Total video summaries for topic,
topic_total_tickets,Total Tickets for Topic,number,Account-Topic,topic,topic_data,yes,daily,Total tickets for topic,
team_member_id,Team Member ID,bigint,Team,team,users,no,real-time,Unique identifier for team member,
team_member_email,Team Member Email,string,Team,team,users,no,sync,Team member email,
team_member_name,Team Member Name,string,Team,team,users,no,sync,Team member full name,
team_member_first_name,Team Member First Name,string,Team,team,users,no,sync,Team member first name,
team_member_last_name,Team Member Last Name,string,Team,team,users,no,sync,Team member last name,
team_member_title,Team Member Title,string,Team,team,users,no,sync,Team member job title,
team_member_department,Team Member Department,string,Team,team,users,no,sync,Team member department,
team_member_has_access,Team Member Has Staircase Access,boolean,Team,team,users,no,sync,Team member has Staircase access,
team_member_excluded_from_analysis,Team Member Excluded from Analysis,boolean,Team,team,users,no,sync,Excluded from communication analysis,
team_member_crm_id,Team Member CRM ID,string,Team,team,users,no,sync,Team member CRM identifier,
meeting_id,Meeting ID,bigint,Meeting,event,calendar_event_raw,no,real-time,Unique identifier for meeting,
meeting_account_id,Meeting Account ID,bigint,Meeting,event,calendar_event_prop,no,real-time,Account this meeting is associated with,
meeting_date,Meeting Date,datetime,Meeting,event,calendar_event_raw,no,real-time,Meeting start date/time,
meeting_duration_minutes,Meeting Duration (minutes),number,Meeting,event,calendar_event_raw,yes,real-time,Meeting duration in minutes,
meeting_attendee_count,Meeting Attendee Count,number,Meeting,event,calendar_event_attendee,yes,real-time,Total meeting attendees,
meeting_internal_attendee_count,Internal Attendee Count,number,Meeting,event,calendar_event_attendee,yes,real-time,Internal team members in meeting,
meeting_customer_attendee_count,Customer Attendee Count,number,Meeting,event,calendar_event_attendee,yes,real-time,Customer stakeholders in meeting,
meeting_organizer_email,Meeting Organizer Email,string,Meeting,event,calendar_event_raw,no,real-time,Meeting organizer email,
insight_id,Insight ID,bigint,Insight,event,insight,no,real-time,Unique identifier for insight,
insight_account_id,Insight Account ID,bigint,Insight,event,insight,no,real-time,Account this insight is for,
insight_type,Insight Type,string,Insight,event,insight,no,real-time,Type of insight detected,
insight_first_detected,Insight First Detected,datetime,Insight,event,insight,no,real-time,Date insight was first detected,
extracted_at,Extracted At,datetime,System,all,computed,yes,on-export,Timestamp when export was generated,
data_as_of,Data As Of,datetime,System,all,computed,yes,on-export,Timestamp of most recent data in export,
